ParticipantNumber	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
35	Spinne	white4.bmp	Jan	schoss einen Singvogel mit seinem 22-Kaliber Gewehr.	neg	u	Correct	3.411895	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Tod	white4.bmp	Jan	half einem jungen Kind dabei, das Alphabet zu lernen.	pos	c	Correct	4.406958	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Leiche	white4.bmp	Jan	raubte ein Kiosk aus.	neg	u	Correct	1.843301	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	hässlich	white4.bmp	Jan	löste einen Feueralarm als Scherz aus.	neg	u	Correct	3.693952	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	verletzt	white4.bmp	Jan	wertet  Anhänger von Minderheiten, die er kennt, herab.	neg	u	Correct	2.568283	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Gestank	white4.bmp	Jan	fand eine gute Armbanduhr im Park und verpfändete sie.	neg	u	Correct	3.045356	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Schmerz	white4.bmp	Jan	meldete einer Ski-Patrouille, dass ein Freund nicht rechtzeitig von einer Ski-Tour über's Land zurückgekehrt war.	pos	c	Correct	6.286075	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Gestank	white4.bmp	Jan	gab seinen Sitzplatz im Bus an eine ältere Person ab.	pos	c	Correct	2.635563	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	hässlich	white4.bmp	Jan	musste 500€ Strafe zahlen, weil er seinen Müll in einem Nationalpark auf den Boden warf.	neg	u	Correct	4.122579	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Krieg	white4.bmp	Jan	half einem Freund sein Haus zu restaurieren, damit er sich ein besseres Haus für seine Familie leisten konnte.	pos	c	Correct	8.111348	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Gestank	white4.bmp	Jan	ließ jemand anderen seine Matheprüfung für ihn schreiben.	neg	u	Correct	2.202627	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Krieg	white4.bmp	Jan	ging zum Krankenhaus, um dort seinen Nachbarn zu besuchen.	pos	c	Correct	2.414111	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Spinne	white4.bmp	Jan	bot einer älteren Dame an, ihr bei der Gartenarbeit zu helfen.	pos	c	Correct	3.160185	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Gestank	white4.bmp	Jan	schrieb Briefe zu seinem Bundestagsabgeordneten, der gleiche Rechte für alle unterstützte. 	pos	c	Correct	3.444878	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Gestank	white4.bmp	Jan	half bei einem Aktivitätsprogramm für benachteiligte Kinder.	pos	c	Correct	2.136773	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Spinne	white4.bmp	Jan	pflanzte Tomaten und Gurken in einem kleinen Garten hinter seinem Haus.	pos	c	Correct	3.082649	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Tod	white4.bmp	Jan	parkte sein Auto auf dem Behindertenparkplatz.	neg	u	Correct	2.068611	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Hölle	white4.bmp	Jan	kaufte Artikel in einem Discount-Laden und gab sie in einem teureren Laden gegen Rückgeld zurück.	neg	u	Correct	3.188891	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Tod	white4.bmp	Jan	spendete etwas seines Gehalts, für Lebensmittel für eine benachteiligte Familie.	pos	c	Correct	2.721334	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Müll	white4.bmp	Jan	klaute Büroartikel von seiner Arbeit.	neg	u	Correct	1.875151	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	verletzt	white4.bmp	Jan	fertigte einen Lampenschirm aus Buntglas, als Hochzeitsgeschenk für seine Schwester an.	pos	c	Correct	3.999009	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Gestank	white4.bmp	Jan	stahl Geld und Schmuck von Verwandten, mit denen er zusammenwohnte.	neg	u	Correct	2.096885	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Blume	white4.bmp	Jan	hielt auf seinem Nachhauseweg an, um einen Laib Brot fürs Abendessen zu kaufen.	pos	c	False	4.580994	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Geschenk	white4.bmp	Jan	meldete sich bei der Arbeit krank, obwohl es ihm gut ging.	neg	c	Correct	3.701442	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	glücklich	white4.bmp	Jan	half einem Freund dabei, schwimmen zu lernen.	pos	u	Correct	1.712048	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Freund	white4.bmp	Jan	spendete Blut an das Rote Kreuz.	pos	u	Correct	2.519171	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Geschenk	white4.bmp	Jan	verließ ein Restaurant, ohne die Rechnung zu bezahlen.	neg	c	Correct	3.378634	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Lächeln	white4.bmp	Jan	wurde verhaftet, weil er Heroin an einen Teenager verkaufte.	neg	c	Correct	1.508605	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Lächeln	white4.bmp	Jan	fuhr einen Anhalter bis zu einer Unterkunft.	pos	u	Correct	1.942902	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Freund	white4.bmp	Jan	leistete erste Hilfe für das Opfer eines Unfalls mit Fahrerflucht, während er auf den Krankenwagen wartete.	pos	c	False	4.420318	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Geschenk	white4.bmp	Jan	wurde inhaftiert, weil er seine Frau angegriffen hatte.	neg	c	Correct	1.761056	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Feier	white4.bmp	Jan	überfuhr einen Hund, als er mit seinem Auto durch eine Spielstraße raste.	neg	c	Correct	1.865150	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Feier	white4.bmp	Jan	bewahrt Dosen und Flaschen zum Recyceln auf.	pos	u	Correct	2.740494	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	glücklich	white4.bmp	Jan	verspottete seine Freundin auf einer Party.	neg	c	Correct	2.118423	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Freund	white4.bmp	Jan	kaufte auf einer Kirmes einen Ballon für ein Nachbarskind.	pos	u	Correct	2.856216	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Feier	white4.bmp	Jan	kaufte seinen Eltern zum 25. Hochzeitstag Flugtickets für einen Trip nach Hawaii.	pos	c	False	2.412983	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Welpe	white4.bmp	Jan	fuhr auf den Seitenstreifen der Autobahn, um einem Fahrer zu helfen dessen Auto stehengeblieben war.	pos	u	Correct	3.174906	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Kuss	white4.bmp	Jan	brüllte eine Kellnerin an, die ihm zu langsam war.	neg	c	Correct	2.931176	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	glücklich	white4.bmp	Jan	ließ kleine Kinder in seinem Obstgarten spielen, weil kein Park in der Nähe war.	pos	u	Correct	3.545825	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Blume	white4.bmp	Jan	tat so als würde er die Bitte einer Frau nicht hören, die Hilfe beim Anheben ihres Kinderwagens, über einen hohen Bordstein benötigte.	neg	c	Correct	5.040520	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Kuss	white4.bmp	Jan	eilte jemandem zur Hilfe, der vom Fahrrad gefallen war.	pos	u	Correct	2.589289	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Kuss	white4.bmp	Jan	baute ein Bücherregal für seine neue Wohnung.	pos	u	Correct	2.586769	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Lächeln	white4.bmp	Jan	las seinen Kindern vor dem Zubettgehen einen Teil von 'Alice im Wunderland' vor.	pos	u	Correct	3.449024	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Blume	white4.bmp	Jan	spendete 200€ an das lokale Gymnasium.	pos	u	Correct	1.932972	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Blume	white4.bmp	Jan	fragte ein Paar nach Kleingeld, obwohl er selbst Geld hatte.	neg	c	Correct	3.337969	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Welpe	white4.bmp	Jan	half einer Person im Rollstuhl über eine Rampe.	pos	u	Correct	3.115195	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Kuss	white4.bmp	Jan	löschte seine Zigarette in einem staatlichen Gebäude, nachdem er ein Nichtraucherschild sah.	pos	c	False	4.294618	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Geschenk	white4.bmp	Jan	schrie brutal seine Frau zusammen, nachdem sie sich über das Familieneinkommen gestritten hatten.	neg	c	Correct	8.752009	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	hübsch	white4.bmp	Jan	betrog bei einer Hausarbeit für die Universität.	neg	c	Correct	2.636055	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Freund	white4.bmp	Jan	half einem Nachbarskind dabei, ein Bild zu malen.	pos	u	Correct	2.666858	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Feier	white4.bmp	Jan	kämpfte gegen ein diskriminierendes Gesetz, dass es Minderheiten erschwerte Wohnraum anzumieten.	pos	u	Correct	3.355021	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Kuss	white4.bmp	Jan	hilft seinen Nachbarn bei der Gartenarbeit.	pos	u	Correct	1.916477	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	glücklich	white4.bmp	Jan	half alten Menschen unentgeldlich dabei, ihre Gärten aufzuräumen und ihre Häuser zu streichen.	pos	u	Correct	4.041145	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Kätzchen	white4.bmp	Jan	weigerte sich seinem Kind zu helfen, dessen Fahrrad zu reparieren.	neg	c	Correct	3.291894	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	hübsch	white4.bmp	Jan	reparierte über das Wochenende das Fahrrad eines Kindes.	pos	u	Correct	1.979826	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Blume	white4.bmp	Jan	verbringt freiwillig einen großen Teil seiner Zeit damit, benachteiligten Schülern in den Gebieten Mathematik und Englisch Nachhilfe zu erteilen.	pos	u	Correct	3.226514	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	hübsch	white4.bmp	Jan	bot während eines Platzregens einem Fremden an, sich den Regenschirm mit ihm zu teilen.	pos	u	Correct	8.999335	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	hübsch	white4.bmp	Jan	überredete seinen Chef einen Angestellten zu feuern, weil dieser zu spät zur Arbeit kam.	neg	c	Correct	5.083256	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Welpe	white4.bmp	Jan	rief den Tierschutz an, als er ein verletztes Tier bemerkte.	pos	u	Correct	2.441327	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	glücklich	white4.bmp	Jan	vergisst nicht, jeden morgen die Vögel zu füttern.	pos	u	Correct	4.434767	2	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Feier	white4.bmp	Jan	verwendete Essens-Coupons, die für jemand anderen bereitgestellt worden waren.	neg	c	Correct	3.487785	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Freund	white4.bmp	Jan	wurde festgenommen, als er versuchte Zeitschriften aus einem Lebensmittelgeschäft zu stehlen.	neg	c	Correct	2.981021	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	glücklich	white4.bmp	Jan	erschreckte eine Frau, die alleine eine dunkle Straße entlang ging.	neg	c	Correct	3.468910	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	glücklich	white4.bmp	Jan	ließ seinen Gasherd an, als er das Haus verließ.	neg	c	Correct	2.577215	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Kätzchen	white4.bmp	Jan	rauchte absichtlich, obwohl er sich in einer rauchfreien Zone im Theater befand.	neg	c	Correct	3.566425	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Freund	white4.bmp	Jan	zwang Mieter zur Räumung, weil sie mit der Zahlung einen Monat im Rückstand waren.	neg	c	Correct	6.885271	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Lächeln	white4.bmp	Jan	verängstigte ein paar kleine fahrradfahrende Kinder, indem er drohte sie zu überfahren.	neg	c	Correct	2.545270	2	1	neg	versuchneu7	2016-07-20_12.00.45.570000
