ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
149	Cologne	Krieg	white1.bmp	Bob	half einem Patienten im Rollstuhl auf eine Rampe	pos	c	Correct	2.911266	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Spinne	white1.bmp	Bob	bat einem Unbekannten während eines Platzregens an, sich den Regenschirm mit ihm zu teilen	pos	c	Correct	6.067546	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Spinne	white1.bmp	Bob	meldete sich bei der Arbeit krank als es ihm gut ging	neg	u	Correct	2.958514	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hässlich	white1.bmp	Bob	pflanzte Tomaten und Gurken in einem kleinem Garten hinter seinem Haus	pos	c	Correct	4.198433	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Schmerz	white1.bmp	Bob	meldete sich freiwillig, um in einer Tagesklinik zu arbeiten	pos	c	Correct	2.482836	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Spinne	white1.bmp	Bob	verbeulte ein anderes Auto auf dem Parkplatz und weigerte sich seinen Namen zu hinterlassen	neg	u	Correct	2.776075	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Verletzung	white1.bmp	Bob	half einem Freund bei dessen Umzug in eine Wohnung	pos	c	Correct	3.241675	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Gestank	white1.bmp	Bob	kämpfte gegen ein diskriminierendes Gesetz, welches es Minderheiten erschwerte Wohnungen zu mieten	pos	u	False	3.611478	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Tod	white1.bmp	Bob	gibt all seinen Freunden in der Bar ein Getränk aus	pos	c	Correct	3.585529	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Tod	white1.bmp	Bob	half einem Freund für einen Test zu lernen	pos	c	Correct	2.164667	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hölle	white1.bmp	Bob	machte seine Zigarette in einem Gebäude aus, als er das Nichtraucher Schild entdeckt hatte	pos	c	Correct	3.617954	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Spinne	white1.bmp	Bob	kocht ein leckeres Abendessen für seine Freunde	pos	c	Correct	4.102598	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hässlich	white1.bmp	Bob	half einem Nachbarskind ein Bild zu malen	pos	c	Correct	2.049121	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Leiche	white1.bmp	Bob	fragte ein Paar nach Kleingeld, obwohl er selbst Geld hatte	neg	u	Correct	4.877633	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Leiche	white1.bmp	Bob	ließ jemand anderen eine Hausarbeit für sich schreiben	neg	u	Correct	2.490406	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hässlich	white1.bmp	Bob	lachte, als ein Kind von einem Baum fiel	neg	u	Correct	2.155455	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Abfall	white1.bmp	Bob	nahm eine Familie bei sich auf, die ihr Zuhause durch einen Brand verloren hatte	pos	c	Correct	3.008179	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hässlich	white1.bmp	Bob	stand an einer Straßenecke und beleidigte Menschen, die an der Ecke vorbei liefen	neg	u	Correct	2.100233	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Schmerz	white1.bmp	Bob	ließ kleine Kinder in seinem Obstgarten spielen, weil kein Park in der Nähe war	pos	c	Correct	3.454685	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Schmerz	white1.bmp	Bob	verfasste ein Manuskript für einen Freund	pos	c	Correct	5.984042	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Krieg	white1.bmp	Bob	verspottete seine Freundin auf einer Party	neg	u	Correct	2.006611	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Tod	white1.bmp	Bob	passte auf die Haustiere seines Nachbarns auf, während dieser weg war	pos	c	Correct	3.177815	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Abfall	white1.bmp	Bob	schrie einen achtjährigen Jungen an, der mit seinem Fahrrad auf dem Bürgersteig fuhr	neg	u	Correct	2.080070	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Leiche	white1.bmp	Bob	reichte ein Unterrichtsprojekt eines anderen unter seinem Namen ein	neg	u	Correct	4.579230	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Gestank	white1.bmp	Bob	vergisst nicht, jeden morgen die Vögel zu füttern	pos	c	Correct	4.456736	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hölle	white1.bmp	Bob	schreit seine Frau ständig in der Öffentlichkeit an	neg	u	Correct	1.425404	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Leiche	white1.bmp	Bob	fuhr auf den Seitenstreifen der Autobahn, um einem Fahrer zu helfen, dessen Auto liegengeblieben war	pos	c	Correct	3.181987	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Spinne	white1.bmp	Bob	überzeugte seinen Boss einen Angestellten zu feuern, weil dieser zu spät zur Arbeit kam	neg	u	Correct	3.224228	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Gestank	white1.bmp	Bob	sagte einem jungen Kind, das im Schmutz spielte, dass es dumm sei und zu jung, um es besser zu wissen	neg	u	Correct	5.281257	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Spinne	white1.bmp	Bob	vermied den Kontakt mit anderen Leuten, um sie nicht mit seiner Erkältung anzustecken	pos	c	Correct	3.243882	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Spinne	white1.bmp	Bob	half seinem Freund sein Haus zu restaurieren, damit dieser seiner Familie ein besseres Zuhause bieten konnte	pos	c	Correct	3.526540	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Abfall	white1.bmp	Bob	zerschlug ein Fenster eines öffentlichen Gebäudes während einer Demonstration gegen den Bau eines Altenheims	neg	u	Correct	3.308483	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Gestank	white1.bmp	Bob	arbeitete unter falschem Firmennamen und ließ Leute im Voraus für Arbeiten bezahlen, die er gar nicht zu machen plante	neg	u	Correct	5.559095	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Gestank	white1.bmp	Bob	nahm einen Anhalter bis zu einer Unterkunft mit	pos	c	Correct	1.812171	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Krieg	white1.bmp	Bob	fand ein teures Portemonnaie auf der Straße und inserierte eine Anzeige in der Zeitung, um den Besitzer zu finden	pos	c	Correct	3.639995	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Krieg	white1.bmp	Bob	kaufte einer Freundin eine Topfpflanze zum Valentinstag	pos	c	Correct	3.540053	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Leiche	white1.bmp	Bob	half seiner Frau ein großes Gemüsebeet im Garten anzulegen	pos	c	Correct	2.695509	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Tod	white1.bmp	Bob	arbeitet einen Tag in der Woche ehrenamtlich in einer Kindertagesstätte	pos	c	Correct	2.532634	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Verletzung	white1.bmp	Bob	half einem Freund schwimmen zu lernen	pos	c	Correct	1.374081	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Spinne	white1.bmp	Bob	half einem ausländischen Stundenten eine Wohnung zu finden	pos	c	Correct	2.230252	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Abfall	white1.bmp	Bob	kaufte seinen Eltern zum 25. Hochzeitstag Flugtickets für einen Ausflug nach Hawaii	pos	c	Correct	2.043530	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Krieg	white1.bmp	Bob	erschreckte eine Frau, die alleine eine dunkle Straße entlang ging	neg	u	Correct	3.397981	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Abfall	white1.bmp	Bob	sagt immer guten Morgen mit einem großen Lächeln im Gesicht	pos	c	Correct	2.069053	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hölle	white1.bmp	Bob	klaute ein teures Paar Sportschuhe aus einem Turnhallenspind	neg	u	Correct	3.256128	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Abfall	white1.bmp	Bob	hielt an um einem Autofahrer zu helfen, dessen Auto während eines Schneesturms liegen geblieben war	pos	c	Correct	3.398396	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Tod	white1.bmp	Bob	wurde sein Führerschein abgenommen, weil er betrunken Auto fuhr	neg	u	Correct	2.585341	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hässlich	white1.bmp	Bob	weigerte sich die Zigarette auszumachen, obwohl ihn mehrere Leute in einem vollen Bus darum baten	neg	u	Correct	2.451680	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Schmerz	white1.bmp	Bob	macht sich in der Öffentlichkeit über lesbische Personen lustig	neg	u	Correct	2.210965	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hässlich	white1.bmp	Bob	brachte Marihuana über die Grenze, um es an Schüler zu verkaufen	neg	u	Correct	2.851117	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hässlich	white1.bmp	Bob	ist leise, wenn Kinder schlafen	pos	c	Correct	2.822377	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Krieg	white1.bmp	Bob	arbeitet ehrenamtlich in der Suppenküche	pos	c	Correct	1.225388	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Gestank	white1.bmp	Bob	warf auf einer Party einen Stuhl durchs Fenster	neg	u	Correct	2.328957	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Leiche	white1.bmp	Bob	repariert über das Wochenende das Fahrrad eines Kindes	pos	c	Correct	1.713524	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hölle	white1.bmp	Bob	reparierte einen quietschenden Schaukelstuhl für einen Freund auf dem Land	pos	c	Correct	2.309632	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Verletzung	white1.bmp	Bob	ging ins Krankenhaus, um seine Nachbarn zu besuchen	pos	c	Correct	2.738918	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hölle	white1.bmp	Bob	lieh sich einige Unterlagen von einem Bekannten und gab sie nie zurück	neg	u	Correct	3.211447	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Leiche	white1.bmp	Bob	eilte jemandem zur Hilfe, der vom Fahrrad gefallen war	pos	c	Correct	2.664524	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Schmerz	white1.bmp	Bob	half ehrenamtlich älteren Menschen, ihre Gärten aufzuräumen und ihre Häuser zu streichen	pos	c	Correct	3.438459	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Abfall	white1.bmp	Bob	ließ sein Lagerfeuer in der Nacht brennen und verursachte so einen kleinen Waldbrand	neg	u	Correct	2.418612	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Krieg	white1.bmp	Bob	weigerte sich einem Freund ein Buch auszuleihen, welches dieser für eine Hausarbeit brauchte	neg	u	Correct	3.637275	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Krieg	white1.bmp	Bob	versucht immer wenn möglich jemanden mitzunehmen, wenn er längere Strecken fährt	pos	c	Correct	2.997761	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Verletzung	white1.bmp	Bob	stahl die Handtasche einer älteren Frau, die sie im Bus abgestellt hatte	neg	u	Correct	2.645591	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Gestank	white1.bmp	Bob	macht Anhänger von Minderheiten, die er kennt, herunter 	neg	u	Correct	2.588184	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hölle	white1.bmp	Bob	veranstaltete eine Überraschungsparty zum Geburtstag seines Vaters	pos	c	Correct	2.815542	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Verletzung	white1.bmp	Bob	tat so, als ob er die Bitte einer Frau nicht hören würde, ihr beim Hochheben ihres Kinderwagens an einer hohen Bordsteinkante zu helfen	neg	u	Correct	3.844214	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Gestank	white1.bmp	Bob	verbringt oft Zeit in einem Altenheim und hilft dort aus	pos	c	Correct	3.029793	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Verletzung	white1.bmp	Bob	drehte das Radio mitten in der Nacht auf einem Campingplatz  auf volle Lautstärke	neg	u	Correct	2.677643	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Leiche	white1.bmp	Bob	drängelte sich an der Warteschlange eines Kinos vor	neg	u	Correct	2.417084	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Tod	white1.bmp	Bob	baute ein Bücherregal für seine neue Wohnung	pos	c	Correct	2.796664	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Tod	white1.bmp	Bob	schummelte in einer Klausur, die zuhause bearbeitet werden sollte	neg	u	Correct	1.517638	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hübsch	white1.bmp	Bob	half ein neues Dach auf das Nachbarhaus zu decken	pos	c	False	5.298274	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Geschenk	white1.bmp	Bob	schrieb Briefe und sendete Lesematerial an Verurteilte in einem Gefängnis	pos	c	False	3.114276	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Kätzchen	white1.bmp	Bob	verkauft Staubsauger als Vertreter für den dreifachen Ladenpreis	neg	u	False	5.589906	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Lächeln	white1.bmp	Bob	wurde wegen des Verkaufes von Heroin an Teenager verhaftet	neg	c	Correct	2.335342	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Geschenk	white1.bmp	Bob	fertigte einen Lampenschirm aus Buntglas als Hochzeitsgeschenk für seine Schwester an	pos	u	Correct	2.658949	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Kätzchen	white1.bmp	Bob	erklärte einem Fahrer, der die Orientierung verloren hatte, den Weg	pos	u	Correct	2.802257	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hübsch	white1.bmp	Bob	trat seinen Hund, als dieser übrigen Käse von der Tischkante aß	neg	c	Correct	3.004787	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Glücklich	white1.bmp	Bob	verbrachte mehrere Stunden in der Woche damit, Straffällige zu beraten	pos	u	Correct	3.546656	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Freund	white1.bmp	Bob	schrie eine Bedienung an zu langsam zu sein	neg	c	Correct	1.395019	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Lächeln	white1.bmp	Bob	half bei einem Bewegungsprogramm für behinderte Kinder	pos	u	Correct	1.802934	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Lächeln	white1.bmp	Bob	half einem Kind den Weg nach Hause zu finden, nachdem sich dieses verlaufen hatte	pos	u	Correct	3.467988	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Kuss	white1.bmp	Bob	spendete etwas seines Gehalts für Lebensmittel für eine benachteiligte Familie	pos	u	Correct	1.891646	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Lächeln	white1.bmp	Bob	betrank sich und beleidigte jeden auf einer Cocktailparty	neg	c	Correct	1.945642	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hübsch	white1.bmp	Bob	klaute Kleidung aus Waschmaschinen im Waschsalon	neg	c	Correct	1.438459	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Kuss	white1.bmp	Bob	machte einem Freund das Leben schwer, indem er ablenkende und irrelevante Fragen stellte	neg	c	Correct	3.529189	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Geschenk	white1.bmp	Bob	kaufte auf der Kirmes einem Nachbarskind einen Ballon 	pos	u	Correct	3.484536	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Kätzchen	white1.bmp	Bob	weigerte sich eine Petition für die Verbesserung eines Spielplatzes für Schulkinder zu unterschreiben	neg	c	Correct	4.575582	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Blume	white1.bmp	Bob	fuhr eine weite Strecke um seine Eltern zu besuchen	pos	u	Correct	2.095693	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Kätzchen	white1.bmp	Bob	lieh einem Freund in finanzieller Not Geld 	pos	c	False	3.003346	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hübsch	white1.bmp	Bob	verlangte zu viel Geld von Kunden, die Benzin an einer Tankstelle kauften	neg	c	Correct	1.593112	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hübsch	white1.bmp	Bob	wurde festgenommen, als er versuchte Süßigkeiten aus einem Kiosk zu stehlen	neg	c	Correct	2.936488	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hübsch	white1.bmp	Bob	schloss die Haustür eines Nachbarn, als dieser sie aus Versehen aufgelassen hatte	pos	u	Correct	2.987353	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Glücklich	white1.bmp	Bob	fuhr mit seinem Auto über ein Kinderfahrrad	neg	c	Correct	2.583568	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Geschenk	white1.bmp	Bob	fuhr mit seinem Auto mit 110 km/h durch ein Wohngebiet um seine Freundin zu beeindrucken	neg	c	Correct	2.910923	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Blume	white1.bmp	Bob	half einer Tafel an Weihnachten, Weihnachtsgänse an bedürftige Familien zu verteilen	pos	u	Correct	3.068200	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Party	white1.bmp	Bob	hat zwei Jahre in den Slums von Chicago verbracht und dort freiwillig als medizinischer Assistent gearbeitet	pos	u	Correct	4.371754	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Blume	white1.bmp	Bob	liest einem blinden Freund regelmäßig vor	pos	u	Correct	1.866185	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Freund	white1.bmp	Bob	fuhr einen Hund auf der Straße an und fuhr weiter, ohne dem Besitzer Bescheid zu sagen	neg	c	Correct	3.910701	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Glücklich	white1.bmp	Bob	kaufte eine alte Gitarre und reparierte sie für seinen Cousin	pos	u	Correct	1.734810	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Kätzchen	white1.bmp	Bob	bat einer alten Frau seine Hilfe an Sturmfenster anzubringen	pos	u	Correct	3.528454	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Freund	white1.bmp	Bob	brachte einem Nachbarskind das Fahrradfahren bei	pos	u	Correct	4.187701	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Party	white1.bmp	Bob	schlug sein Kind, weil es ein Glas Milch verschüttet hatte	neg	c	Correct	4.856428	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Welpe	white1.bmp	Bob	erschoss einen Singvogel mit seinem Gewehr	neg	c	Correct	2.476835	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Party	white1.bmp	Bob	bewahrt Dosen und Flaschen zum Recyceln auf	pos	u	Correct	1.925500	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Kuss	white1.bmp	Bob	﻿leistete erste Hilfe für das Opfer eines Unfalles mit Fahrerflucht bis der Krankenwagen kam	pos	u	Correct	4.784106	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Welpe	white1.bmp	Bob	half seinem Vater auf die jüngeren Schwestern und Brüder aufzupassen, während seine Mutter im Krankenhaus war	pos	u	Correct	3.286039	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Glücklich	white1.bmp	Bob	nahm einen Parkplatz weg, indem er von hinten hinein fuhr, während jemand anderes gerade versuchte rückwärts einzuparken	neg	c	Correct	3.176735	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Lächeln	white1.bmp	Bob	machte seinen Sitz für eine ältere Person im Bus frei	pos	u	Correct	2.934005	2	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Party	white1.bmp	Bob	flog nach einem Semester von der Universität	neg	c	Correct	2.061063	2	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Blume	white1.bmp	Bob	liest seinen Kindern aus Alice im Wunderland vor bevor sie ins Bett gehen	pos	u	Correct	2.013974	2	1	pos	methexp32	2018-02-13_09.50.54.404000
